[Log] Move up: Extra score - 1422.4 Avg number of moves 139.8 (ai.js, line 39)
[Log] Move up: Extra score - 1283.2 Avg number of moves 131 (ai.js, line 39)
[Log] Move up: Extra score - 1220 Avg number of moves 130.4 (ai.js, line 39)
[Log] Move left: Extra score - 1798.4 Avg number of moves 159.2 (ai.js, line 39)
[Log] Move down: Extra score - 1296.8 Avg number of moves 124.6 (ai.js, line 39)
[Log] Move down: Extra score - 1116 Avg number of moves 111.8 (ai.js, line 39)
[Log] Move down: Extra score - 1528.8 Avg number of moves 138.8 (ai.js, line 39)
[Log] Move left: Extra score - 1421.6 Avg number of moves 132.8 (ai.js, line 39)
[Log] Move right: Extra score - 1284 Avg number of moves 124.2 (ai.js, line 39)
[Log] Move up: Extra score - 1177.6 Avg number of moves 115.4 (ai.js, line 39)
[Log] Move up: Extra score - 1285.6 Avg number of moves 122.4 (ai.js, line 39)
[Log] Move up: Extra score - 1163.2 Avg number of moves 120.2 (ai.js, line 39)
[Log] Move right: Extra score - 1234.4 Avg number of moves 112.4 (ai.js, line 39)
[Log] Move down: Extra score - 926.4 Avg number of moves 100.8 (ai.js, line 39)
[Log] Move left: Extra score - 1534.4 Avg number of moves 136.4 (ai.js, line 39)
[Log] Move up: Extra score - 1185.6 Avg number of moves 120.4 (ai.js, line 39)
[Log] Move left: Extra score - 1296 Avg number of moves 121.2 (ai.js, line 39)
[Log] Move down: Extra score - 1143.2 Avg number of moves 111.4 (ai.js, line 39)
[Log] Move right: Extra score - 1255.2 Avg number of moves 119.4 (ai.js, line 39)
[Log] Move right: Extra score - 1227.2 Avg number of moves 112 (ai.js, line 39)
[Log] Move left: Extra score - 1397.6 Avg number of moves 122.8 (ai.js, line 39)
[Log] Move down: Extra score - 1517.6 Avg number of moves 136.2 (ai.js, line 39)
[Log] Move up: Extra score - 1146.4 Avg number of moves 105.6 (ai.js, line 39)
[Log] Move left: Extra score - 900.8 Avg number of moves 88.2 (ai.js, line 39)
[Log] Move right: Extra score - 1572 Avg number of moves 138 (ai.js, line 39)
[Log] Move down: Extra score - 1208.8 Avg number of moves 113 (ai.js, line 39)
[Log] Move up: Extra score - 1360 Avg number of moves 122 (ai.js, line 39)
[Log] Move down: Extra score - 1456 Avg number of moves 126.4 (ai.js, line 39)
[Log] Move left: Extra score - 1282.4 Avg number of moves 119.4 (ai.js, line 39)
[Log] Move right: Extra score - 1776.8 Avg number of moves 145.2 (ai.js, line 39)
[Log] Move left: Extra score - 1098.4 Avg number of moves 100 (ai.js, line 39)
[Log] Move up: Extra score - 1400 Avg number of moves 118 (ai.js, line 39)
[Log] Move right: Extra score - 1197.6 Avg number of moves 106 (ai.js, line 39)
[Log] Move right: Extra score - 1189.6 Avg number of moves 103.4 (ai.js, line 39)
[Log] Move up: Extra score - 1083.2 Avg number of moves 96.2 (ai.js, line 39)
[Log] Move left: Extra score - 1347.2 Avg number of moves 114.4 (ai.js, line 39)
[Log] Move down: Extra score - 1168 Avg number of moves 103.4 (ai.js, line 39)
[Log] Move down: Extra score - 1091.2 Avg number of moves 99.2 (ai.js, line 39)
[Log] Move right: Extra score - 845.6 Avg number of moves 78.8 (ai.js, line 39)
[Log] Move up: Extra score - 1616 Avg number of moves 126.2 (ai.js, line 39)
[Log] Move left: Extra score - 1134.4 Avg number of moves 104.2 (ai.js, line 39)
[Log] Move up: Extra score - 1095.2 Avg number of moves 99.4 (ai.js, line 39)
[Log] Move left: Extra score - 764.8 Avg number of moves 73.6 (ai.js, line 39)
[Log] Move up: Extra score - 1305.6 Avg number of moves 110 (ai.js, line 39)
[Log] Move down: Extra score - 884 Avg number of moves 81.8 (ai.js, line 39)
[Log] Move up: Extra score - 895.2 Avg number of moves 78.4 (ai.js, line 39)
[Log] Move right: Extra score - 1187.2 Avg number of moves 99.4 (ai.js, line 39)
[Log] Move up: Extra score - 873.6 Avg number of moves 71.6 (ai.js, line 39)
[Log] Move up: Extra score - 956.8 Avg number of moves 82.6 (ai.js, line 39)
[Log] Move left: Extra score - 948.8 Avg number of moves 79 (ai.js, line 39)
[Log] Move down: Extra score - 758.4 Avg number of moves 70.2 (ai.js, line 39)
[Log] Move left: Extra score - 1293.6 Avg number of moves 104.2 (ai.js, line 39)
[Log] Move up: Extra score - 1338.4 Avg number of moves 108.8 (ai.js, line 39)
[Log] Move right: Extra score - 679.2 Avg number of moves 63 (ai.js, line 39)
[Log] Move down: Extra score - 858.4 Avg number of moves 70.8 (ai.js, line 39)
[Log] Move down: Extra score - 716 Avg number of moves 69.6 (ai.js, line 39)
[Log] Move up: Extra score - 748.8 Avg number of moves 75.2 (ai.js, line 39)
[Log] Move right: Extra score - 1069.6 Avg number of moves 91.6 (ai.js, line 39)
[Log] Move up: Extra score - 1124.8 Avg number of moves 101.2 (ai.js, line 39)
[Log] Move left: Extra score - 1064.8 Avg number of moves 86.8 (ai.js, line 39)
[Log] Move left: Extra score - 1090.4 Avg number of moves 94.4 (ai.js, line 39)
[Log] Move left: Extra score - 620 Avg number of moves 58 (ai.js, line 39)
[Log] Move left: Extra score - 834.4 Avg number of moves 73.6 (ai.js, line 39)
[Log] Move right: Extra score - 1195.2 Avg number of moves 98.8 (ai.js, line 39)
[Log] Move up: Extra score - 1047.2 Avg number of moves 80.6 (ai.js, line 39)
[Log] Move left: Extra score - 1081.6 Avg number of moves 92.2 (ai.js, line 39)
